Participating state,Murder and nonnegligent manslaughter,Rape (revised definition1),Aggravated assault,Simple assault,Intimidation,Robbery,Burglary,Larceny-theft,Motor vehicle theft,Arson,Destruction/damage/vandalism,Crimes against society,Other,Total offenses,code
Alabama,0,0,0,2,11,0,0,2,0,0,2,0,0,17,AL
Alaska,0,0,1,6,1,1,0,0,0,1,3,0,0,13,AK
Arizona,0,0,41,65,112,6,1,4,0,0,62,0,0,291,AZ
Arkansas,0,0,1,5,2,0,1,1,0,1,3,1,0,15,AR
California,0,1,191,240,308,31,14,6,2,12,337,0,0,1142,CA
Colorado,0,1,15,25,39,4,1,1,0,1,39,0,0,126,CO
Connecticut,0,0,12,18,40,1,1,7,0,0,39,5,1,124,CT
Delaware,0,0,1,7,5,0,0,0,0,0,5,0,1,19,DE
District of Columbia,0,0,17,62,23,6,0,2,0,0,17,0,0,127,DC
Florida,0,0,28,28,18,4,0,0,0,1,31,0,0,110,FL
Georgia,0,,6,16,12,1,1,0,0,0,10,0,0,46,GA
Idaho,1,0,7,9,5,0,0,0,0,0,13,0,0,35,ID
Illinois,0,1,23,32,31,1,0,1,0,1,32,0,0,122,IL
Indiana,3,1,4,24,101,1,0,0,0,0,23,5,1,163,IN
Iowa,0,0,4,2,8,0,0,0,0,1,5,1,0,21,IA
Kansas,0,0,16,11,26,0,2,4,0,0,9,0,2,70,KS
Kentucky,0,0,15,39,76,4,11,20,4,2,61,2,7,241,KY
Louisiana,0,0,5,10,7,0,2,3,0,0,4,2,0,33,LA
Maine,0,0,1,6,23,0,0,1,0,0,14,0,0,45,ME
Maryland,0,0,11,11,0,1,0,0,0,0,17,0,0,40,MD
Massachusetts,0,1,54,84,139,2,4,14,0,3,136,2,5,444,MA
Michigan,0,3,62,96,179,2,6,10,1,1,75,16,8,459,MI
Minnesota,0,0,28,52,47,4,0,1,0,1,32,0,0,165,MN
Mississippi,0,0,0,3,0,0,2,2,0,0,3,0,0,10,MS
Missouri,0,1,27,32,20,7,2,1,2,1,20,1,0,114,MO
Montana,0,1,1,2,3,0,2,4,1,0,4,1,1,20,MT
Nebraska,0,1,4,14,4,1,0,0,0,0,8,2,1,35,NE
Nevada,0,1,13,18,3,3,1,0,1,0,9,0,0,49,NV
New Hampshire,0,0,1,5,24,0,0,0,0,0,10,0,0,40,NH
New Jersey,0,0,2,12,179,3,2,2,0,0,108,0,0,308,NJ
New Mexico,0,0,3,13,11,1,2,0,0,0,6,0,0,36,NM
New York,0,1,61,209,0,9,11,11,0,7,289,0,0,598,NY
North Carolina,0,0,27,47,70,5,3,5,0,1,50,0,0,208,NC
North Dakota,0,0,1,4,3,0,0,0,0,0,0,0,0,8,ND
Ohio,0,0,22,68,224,6,22,58,5,0,84,3,16,508,OH
Oklahoma,0,2,2,7,15,2,0,0,0,1,5,0,1,35,OK
Oregon,0,1,18,20,33,1,2,1,0,0,43,2,1,122,OR
Pennsylvania,0,0,3,24,25,0,1,2,0,2,10,0,0,67,PA
Rhode Island,0,0,0,4,0,1,0,0,0,0,7,1,0,13,RI
South Carolina,0,0,4,5,4,0,0,2,0,0,8,0,0,23,SC
South Dakota,0,0,1,9,2,0,1,1,0,0,3,4,0,21,SD
Tennessee,0,0,18,62,44,2,3,9,0,0,35,14,3,190,TN
Texas,5,0,42,57,53,9,3,8,0,0,42,0,5,224,TX
Utah,0,2,2,22,2,1,3,6,0,0,18,13,3,72,UT
Vermont,0,0,1,8,1,0,1,4,0,0,11,0,0,26,VT
Virginia,0,2,10,52,31,2,1,4,0,1,42,1,4,150,VA
Washington,0,2,52,111,133,11,13,22,4,1,113,5,15,482,WA
West Virginia,0,2,10,16,2,1,2,9,0,0,3,1,2,48,WV
Wisconsin,0,0,4,10,10,0,2,3,0,0,13,0,0,42,WI
Wyoming,0,0,1,3,0,0,0,0,0,0,0,0,0,4,WY
Total,9,24,873,1687,2109,134,123,231,20,39,1913,82,77,7321,
